bib,isbn,bookType,title,publishDate,publishOrder,firstCheckOut,lastCheckOut,adoption,publishDay,fcheckoutDay,ageFull,ageCheckouts,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,totalCheckout,deweyNumber,deweyCategory
2402328,1580051928,acbk,Zaatar days hen,1/19/07,234,3/5/07,9/30/14,45,18,63,3543,3223,0,76,41,21,18,6,11,4,5,2,184,915,Geography of & travel in Asia
2396348,977197263,acbk,Dreaming of Gwe,1/20/07,235,3/22/07,6/17/14,61,19,80,3542,3206,0,21,6,7,5,3,4,0,2,0,48,944, France & Monaco
2400707,300121032,acbk,Beaumarchais in,1/24/07,236,3/26/07,8/15/13,61,23,84,3538,3202,0,2,1,0,0,0,0,1,0,1,5,796,Athletic & outdoor sports & games
2418872,811849589,acbk,Hip sips modern,1/25/07,237,5/17/07,1/5/13,112,24,136,3537,3150,0,28,31,17,12,8,3,1,0,0,100,641, Food & drink
2400751,1402735138,acbk,Jazzy jeans,1/28/07,238,2/24/07,1/7/15,27,27,54,3534,3232,0,17,12,15,7,4,6,4,1,2,68,746, Textile arts
2396940,811216640,acbk,Amulet,1/29/07,239,2/3/07,11/26/14,5,28,33,3533,3253,0,33,19,21,13,19,10,3,4,7,129,355, Military science
2392391,60841869,acbk,curtain an essa,1/30/07,240,2/20/07,1/21/15,21,29,50,3532,3236,0,63,30,16,15,12,10,9,8,2,165,801,Philosophy & theory
2568167,781812038,acbk,Best of Croatia,1/30/07,241,4/29/10,7/29/14,1185,29,118,3532,2072,0,0,0,0,14,13,12,7,6,11,63,641, Food & drink
2401465,939767554,acbk,Dead horse a no,1/31/07,242,3/13/07,2/9/12,41,30,71,3531,3215,0,10,1,0,2,0,1,0,0,0,14,576, Genetics and evolution
2746920,9707804467,acbk,capos las narco,2/1/07,243,12/14/11,1/15/14,1777,31,347,3530,1478,0,0,0,0,0,2,9,5,1,0,17,363,Other social problems & services
