isbn,publishDate,publishOrder,bib,itemType,checkOutCount,minCheckOut,maxCheckOut,x_adoption,x_age,y_fullFrequency,y_partialFrequency,relative_age
385514867,6/13/06,94,2347396,acbk,83,7/5/06,1/20/15,22,3143,2.6408,2.6594,163
1401210414,6/14/06,95,2365323,acbk,168,8/2/06,9/15/12,49,2285,7.3523,7.5134,164
1560373814,6/15/06,96,2400305,acbk,92,2/21/07,10/6/14,251,3035,3.0313,3.3046,165
1892127911,6/16/06,97,2476709,acbk,93,2/6/08,4/30/13,600,2510,3.7052,4.8691,166
1590512057,6/17/06,98,2709226,acbk,60,4/4/11,1/6/15,1752,3125,1.92,4.37,167
830833773,6/18/06,99,2403359,acbk,42,3/12/07,5/23/13,267,2531,1.6594,1.8551,168
807856800,6/19/06,100,2350035,acbk,74,7/24/06,7/3/14,35,2936,2.5204,2.5508,169
231137443,6/20/06,101,2364537,acbk,41,8/14/06,9/13/14,55,3007,1.3635,1.3889,170
1401211267,6/21/06,102,2365329,acbk,222,7/25/06,6/24/13,34,2560,8.6719,8.7886,171
749907908,6/22/06,103,2626428,acbk,18,1/10/10,12/31/14,1298,3114,0.578,0.9912,172
1402724373,6/28/06,104,2395990,jcbk,274,3/6/07,1/8/15,251,3116,8.7933,9.5637,178
1571744746,6/29/06,105,2406695,acbk,28,3/19/07,5/14/11,263,1780,1.573,1.8457,179
873589017,7/1/06,106,2743340,jcbk,442,12/6/11,1/22/15,1984,3127,14.135,38.6702,181
60823356,7/3/06,107,2358357,jcbk,584,8/7/06,1/11/15,35,3114,18.754,18.9672,183
743273346,7/4/06,108,2355236,acbk,138,7/21/06,11/28/10,17,1608,8.5821,8.6738,184
785116648,7/5/06,109,2367769,acbk,175,10/11/06,7/9/11,98,1830,9.5628,10.1039,185
1401208975,7/6/06,110,2367767,acbk,284,8/11/06,7/1/12,36,2187,12.9858,13.2032,186
019920764X,7/9/06,111,2412069,acbk,61,4/28/07,2/27/14,293,2790,2.1864,2.4429,189
819568112,7/10/06,112,2375290,acbk,34,9/20/06,3/12/14,72,2802,1.2134,1.2454,190
316057738,7/12/06,113,2365336,jcbk,59,8/28/06,9/30/08,47,811,7.275,7.7225,192
811854094,7/13/06,114,2373813,jcbk,256,9/13/06,1/14/15,62,3107,8.2395,8.4072,193
470009683,7/14/06,115,2411728,acbk,121,4/18/07,12/31/14,278,3092,3.9133,4.2999,194
807615692,7/17/06,116,2357042,acbk,35,8/2/06,1/17/13,16,2376,1.4731,1.4831,197
1400042690,7/18/06,117,2349465,acbk,514,8/2/06,12/26/14,15,3083,16.6721,16.7536,198
1401210066,7/19/06,118,2395215,acbk,267,1/11/07,11/26/14,176,3052,8.7484,9.2837,199
1931160465,7/20/06,119,2395233,acbk,56,1/22/07,8/22/14,186,2955,1.8951,2.0224,200
813191645,7/21/06,120,2374072,acbk,40,9/13/06,5/6/12,54,2116,1.8904,1.9399,201
310710936,7/22/06,121,2405672,jcbk,74,3/31/07,12/27/11,252,1984,3.7298,4.2725,202
691127700,7/23/06,122,2406098,acbk,12,5/4/07,2/27/12,285,2045,0.5868,0.6818,203
742546705,7/24/06,123,2371238,acbk,39,10/23/06,12/29/14,91,3080,1.2662,1.3048,204
1401359795,7/26/06,124,2372389,acbk,457,8/13/06,11/20/14,18,3039,15.0378,15.1274,206
309101379,7/27/06,125,2381797,acbk,75,10/25/06,9/6/14,90,2963,2.5312,2.6105,207
826515258,7/28/06,126,2363424,acbk,24,8/12/06,2/8/13,15,2387,1.0054,1.0118,208
313337977,7/30/06,127,2399458,acbk,8,2/26/07,12/10/10,211,1594,0.5019,0.5785,210
1584655437,7/31/06,128,2364737,acbk,14,8/10/06,3/25/13,10,2429,0.5764,0.5788,211
1585678147,8/3/06,129,2383490,acbk,38,11/17/06,8/9/14,106,2928,1.2978,1.3466,214
1597260878,8/4/06,130,2410513,acbk,12,3/29/07,1/6/13,237,2347,0.5113,0.5687,215
1930865864,8/10/06,131,2382677,acbk,8,11/24/06,2/24/11,106,1659,0.4822,0.5151,221
032144972X,8/11/06,132,2392572,acbk,191,1/12/07,8/20/13,154,2566,7.4435,7.9187,222
1564776727,8/14/06,133,2415099,acbk,23,5/4/07,7/7/11,263,1788,1.2864,1.5082,225
321430840,8/16/06,134,2446491,acbk,222,8/22/07,5/1/13,371,2450,9.0612,10.6782,227
1578068843,8/18/06,135,2383621,acbk,26,11/21/06,11/30/13,95,2661,0.9771,1.0133,229
809556073,8/19/06,136,2392326,acbk,9,1/4/07,7/14/08,138,695,1.295,1.6158,230
1554071763,8/20/06,137,2395813,acbk,70,2/7/07,12/10/14,171,3034,2.3072,2.445,231
756619122,8/21/06,138,2374831,jcbk,199,10/13/06,11/28/14,53,3021,6.5872,6.7049,232
1578068886,8/23/06,139,2383620,acbk,43,11/14/06,7/24/10,83,1431,3.0049,3.1899,234
801884381,8/24/06,140,2380412,acbk,47,10/18/06,12/4/11,55,1928,2.4378,2.5093,235
1594512426,8/27/06,141,2384922,acbk,10,11/25/06,9/15/12,90,2211,0.4523,0.4715,238
1579652999,8/30/06,142,2392040,acbk,226,1/28/07,11/5/14,151,2989,7.5611,7.9634,241
195309642,8/31/06,143,2357406,acbk,16,10/1/06,6/23/12,31,2123,0.7537,0.7648,242
786837799,9/2/06,144,2374827,jcbk,97,10/3/06,9/15/12,31,2205,4.3991,4.4618,244
827608292,9/3/06,145,2403212,acbk,38,3/26/07,1/4/15,204,3045,1.2479,1.3376,245
738548561,9/4/06,146,2389619,acbk,45,11/29/06,2/27/14,86,2733,1.6465,1.7,246
142407062,9/7/06,147,2381385,jcbk,287,10/27/06,12/8/11,50,1918,14.9635,15.364,249
1586858521,9/8/06,148,2397950,acbk,152,2/23/07,1/18/15,168,3054,4.9771,5.2668,250
193336839X,9/10/06,149,2403526,acbk,22,3/15/07,12/27/13,186,2665,0.8255,0.8875,252
084237518X,9/11/06,150,2382555,acbk,49,11/8/06,10/24/13,58,2600,1.8846,1.9276,253
763624020,9/12/06,151,2724724,acbk,268,6/25/11,1/17/15,1747,3049,8.7898,20.5837,254
670061034,9/14/06,152,2381964,jcbk,468,10/24/06,12/23/14,40,3022,15.4864,15.6942,256
1560976268,9/15/06,153,2389166,acbk,72,5/19/07,9/2/14,246,2909,2.4751,2.7037,257
1593852142,9/16/06,154,2394004,acbk,158,1/16/07,11/8/14,122,2975,5.3109,5.538,258
811216748,9/17/06,155,2395001,acbk,144,2/20/07,12/29/14,156,3025,4.7603,5.0192,259
1843532646,9/18/06,156,2392608,acbk,108,1/9/07,2/18/14,113,2710,3.9852,4.1586,260
1558323201,9/20/06,157,2380119,acbk,91,11/1/06,12/10/13,42,2638,3.4496,3.5054,262
816525382,9/21/06,158,2382717,acbk,51,11/10/06,10/29/14,50,2960,1.723,1.7526,263
742544354,9/22/06,159,2379485,acbk,8,5/11/07,1/6/14,231,2663,0.3004,0.3289,264
977763625,9/23/06,160,2393774,acbk,43,12/21/06,5/27/14,89,2803,1.5341,1.5844,265
60541431,9/26/06,161,2731636,acbk,290,8/10/11,1/13/15,1779,3031,9.5678,23.1629,268
1401209548,9/27/06,162,2395165,acbk,207,2/7/07,12/8/14,133,2994,6.9138,7.2352,269
558303528,9/30/06,163,2382967,acbk,715,10/12/06,1/18/15,12,3032,23.5818,23.6755,272
1861268637,10/1/06,164,2700785,acbk,16,3/8/11,1/3/15,1619,3016,0.5305,1.1453,273
316057754,10/4/06,165,2382194,jcbk,141,11/10/06,3/26/12,37,2000,7.05,7.1829,276
1550289144,10/5/06,166,2374815,jcbk,9,10/15/06,4/10/13,10,2379,0.3783,0.3799,277
325008892,10/6/06,167,2397659,acbk,14,2/27/07,6/28/10,144,1361,1.0287,1.1504,278
714838497,10/7/06,168,2405972,acbk,78,7/3/07,12/13/14,269,2989,2.6096,2.8676,279
1591454824,10/8/06,169,2390979,acbk,30,12/8/06,1/31/11,61,1576,1.9036,1.9802,280
738548634,10/9/06,170,2388856,acbk,245,11/29/06,12/28/14,51,3002,8.1612,8.3023,281
792259246,10/10/06,171,2376556,jcbk,104,11/14/06,12/15/14,35,2988,3.4806,3.5218,282
618570500,10/11/06,172,2386423,acbk,276,11/3/06,11/24/12,23,2236,12.3435,12.4718,283
159337609X,10/12/06,173,2383141,acbk,85,12/13/06,9/11/14,62,2891,2.9402,3.0046,284
60296445,10/13/06,174,2385719,jcbk,1486,10/27/06,1/16/15,14,3017,49.2542,49.4838,285
300120443,10/14/06,175,2411053,acbk,21,4/22/07,10/20/14,190,2928,0.7172,0.767,286
195301595,10/16/06,176,2379597,acbk,42,11/16/06,12/15/13,31,2617,1.6049,1.6241,288
520250354,10/18/06,177,2385857,acbk,49,11/28/06,11/2/14,41,2937,1.6684,1.692,290
670038016,10/19/06,178,2389168,acbk,80,12/21/06,1/17/15,63,3012,2.656,2.7128,291
826419178,10/22/06,179,2384971,acbk,51,12/20/06,12/13/14,59,2974,1.7149,1.7496,294
306814897,10/23/06,180,2380397,acbk,96,11/25/06,4/22/14,33,2738,3.5062,3.549,295
785117652,10/25/06,181,2385494,acbk,233,11/17/06,4/3/10,23,1256,18.551,18.897,297
826515371,10/27/06,182,2380410,acbk,42,11/16/06,3/29/14,20,2710,1.5498,1.5613,299
069112678X,10/29/06,183,2403497,acbk,146,3/16/07,8/10/13,138,2477,5.8942,6.242,301
6071107326,11/1/06,184,2715432,acbk,6,5/6/11,7/23/12,1647,2091,0.2869,1.3514,304
1559630787,11/5/06,185,2399467,acbk,39,2/15/07,5/8/13,102,2376,1.6414,1.715,308
044657967X,11/6/06,186,2389774,acbk,908,11/28/06,10/9/14,22,2894,31.3753,31.6156,309
810151782,11/8/06,187,2386498,acbk,21,12/26/06,10/16/14,48,2899,0.7244,0.7366,311
1932946160,11/9/06,188,2394097,acbk,2,7/6/10,11/9/10,1335,1461,0.1369,1.5873,312
158180900X,11/10/06,189,2391662,acbk,506,12/6/06,5/12/14,26,2740,18.4672,18.6441,313
1593076401,11/11/06,190,2396637,acbk,316,1/23/07,7/19/13,73,2442,12.9402,13.339,314
032148617X,11/12/06,191,2400294,acbk,119,3/3/07,11/21/14,111,2931,4.06,4.2199,315
448443961,11/16/06,192,2390644,jcbk,99,1/30/07,2/18/10,75,1190,8.3193,8.8789,319
762426012,11/17/06,193,2392043,acbk,65,1/19/07,1/8/15,63,2974,2.1856,2.2329,320
801884624,11/20/06,194,2389179,acbk,38,12/23/06,3/19/12,33,1946,1.9527,1.9864,323
159420120X,11/21/06,195,2379614,acbk,459,12/15/06,1/14/15,24,2976,15.4234,15.5488,324
1580051766,11/22/06,196,2386258,acbk,41,12/11/06,8/11/11,19,1723,2.3796,2.4061,325
822559692,11/24/06,197,2402353,jcbk,39,3/6/07,10/24/11,102,1795,2.1727,2.3036,327
1595550674,11/26/06,198,2437884,acbk,18,7/24/07,9/25/10,240,1399,1.2866,1.5531,329
393062597,11/27/06,199,2392451,acbk,209,12/12/06,1/7/15,15,2963,7.0537,7.0896,330
1560977558,11/29/06,200,2401752,acbk,50,2/26/07,4/25/13,89,2339,2.1377,2.2222,332
439882591,12/1/06,201,2388837,jcbk,32,12/22/06,7/2/09,21,944,3.3898,3.467,334
084991311X,12/3/06,202,2384905,acbk,44,1/14/07,9/26/13,42,2489,1.7678,1.7981,336
195181395,12/4/06,203,2388426,acbk,15,1/30/07,7/26/13,57,2426,0.6183,0.6332,337
307386562,12/6/06,204,2393793,acbk,39,1/16/07,10/24/12,41,2149,1.8148,1.8501,339
977902374,12/7/06,205,2401850,acbk,29,2/1/07,10/6/10,56,1399,2.0729,2.1593,340
1879794209,12/8/06,206,2729968,jcbk,83,8/14/11,10/10/12,1710,2133,3.8912,19.6217,341
1904130224,12/8/06,207,2410218,acbk,15,5/8/07,1/5/15,151,2950,0.5085,0.5359,341
131935429,12/9/06,208,2795306,bcbk,8,7/11/12,2/1/14,2041,2611,0.3064,1.4035,342
1571782028,12/10/06,209,2411799,acbk,25,6/17/07,10/21/14,189,2872,0.8705,0.9318,343
316114596,12/11/06,210,2396884,acbk,84,1/12/07,1/14/15,32,2956,2.8417,2.8728,344
977674673,12/14/06,211,2394163,acbk,38,1/4/07,1/16/14,21,2590,1.4672,1.4792,347
861715136,12/15/06,212,2391452,acbk,54,2/5/07,1/28/13,52,2236,2.415,2.4725,348
131986473,12/16/06,213,2403214,acbk,93,3/12/07,5/3/14,86,2695,3.4508,3.5646,349
618719601,12/18/06,214,2393557,jcbk,94,2/21/07,11/23/14,65,2897,3.2447,3.3192,351
785120254,12/20/06,215,2396919,acbk,226,2/2/07,5/3/13,44,2326,9.7163,9.9036,353
1565124731,12/21/06,216,2383665,acbk,222,1/26/07,1/8/15,36,2940,7.551,7.6446,354
822558939,12/22/06,217,2435077,acbk,22,5/22/08,10/21/14,517,2860,0.7692,0.939,355
977616630,12/24/06,218,2402046,acbk,83,2/14/07,10/3/12,52,2110,3.9336,4.033,357
075662603X,12/25/06,219,2404723,acbk,218,2/25/07,1/13/15,62,2941,7.4124,7.5721,358
1418038474,12/27/06,220,2387252,acbk,101,2/20/07,10/8/14,55,2842,3.5538,3.624,360
786717645,12/29/06,221,2402318,acbk,51,2/5/07,9/19/12,38,2091,2.439,2.4842,362
076114370X,12/30/06,222,2399164,acbk,129,1/25/07,4/11/13,26,2294,5.6234,5.6878,363
811833461,1/1/07,223,2397654,acbk,137,2/18/07,5/16/11,48,1596,8.584,8.8501,365
60088915,1/2/07,224,2381222,acbk,113,3/6/07,9/27/14,63,2825,4,4.0912,366
1879794217,1/3/07,225,2729975,jcbk,352,8/15/11,1/17/15,1685,2936,11.9891,28.1375,367
061843366X,1/4/07,226,2393130,acbk,37,1/31/07,10/26/12,27,2122,1.7436,1.7661,368
830833528,1/5/07,227,2393113,acbk,30,2/15/07,5/22/14,41,2694,1.1136,1.1308,369
1401918530,1/6/07,228,2440057,acbk,122,7/17/07,2/8/13,192,2225,5.4831,6.001,370
031601091X,1/7/07,229,2402334,acbk,39,3/9/07,4/30/12,61,1940,2.0103,2.0756,371
160771390,1/10/07,230,2401239,acbk,2,2/14/12,4/11/12,1861,1918,0.1043,3.5088,374
1595581065,1/15/07,231,2383589,acbk,12,2/14/07,12/17/14,30,2893,0.4148,0.4191,379
